;ds;y;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;Christi Himmelfahrt;Christi Himmelfahrt_lower;Christi Himmelfahrt_upper;Erster Mai;Erster Mai_lower;Erster Mai_upper;Erster Weihnachtstag;Erster Weihnachtstag_lower;Erster Weihnachtstag_upper;Karfreitag;Karfreitag_lower;Karfreitag_upper;Neujahr;Neujahr_lower;Neujahr_upper;Ostermontag;Ostermontag_lower;Ostermontag_upper;Pfingstmontag;Pfingstmontag_lower;Pfingstmontag_upper;Reformationstag;Reformationstag_lower;Reformationstag_upper;Tag der Deutschen Einheit;Tag der Deutschen Einheit_lower;Tag der Deutschen Einheit_upper;Zweiter Weihnachtstag;Zweiter Weihnachtstag_lower;Zweiter Weihnachtstag_upper;additive_terms;additive_terms_lower;additive_terms_upper;holidays;holidays_lower;holidays_upper;weekly;weekly_lower;weekly_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat;residuals
10;2011-10-11;-75650069.0;11447053.089430826;-100594942.37913476;97280858.25791752;11447053.089430826;11447053.089430826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9279404.922547225;-9279404.922547225;-9279404.922547225;0.0;0.0;0.0;5176495.516137328;5176495.516137328;5176495.516137328;-14455900.438684553;-14455900.438684553;-14455900.438684553;0.0;0.0;0.0;2167648.166883601;77817717.1668836
11;2011-10-12;-10604714.0;11420493.262693828;-96702969.01474628;98169498.03388144;11420493.262693828;11420493.262693828;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-12761472.67614086;-12761472.67614086;-12761472.67614086;0.0;0.0;0.0;1503571.4167195796;1503571.4167195796;1503571.4167195796;-14265044.092860438;-14265044.092860438;-14265044.092860438;0.0;0.0;0.0;-1340979.4134470318;9263734.586552968
12;2011-10-13;56868239.0;11393933.435956832;-90156324.9694851;96983992.15178522;11393933.435956832;11393933.435956832;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-11189876.7878919;-11189876.7878919;-11189876.7878919;0.0;0.0;0.0;2718160.6573518687;2718160.6573518687;2718160.6573518687;-13908037.445243768;-13908037.445243768;-13908037.445243768;0.0;0.0;0.0;204056.64806493185;-56664182.35193507
13;2011-10-14;139925756.0;11367373.609219834;-94057525.7289226;109135780.76476425;11367373.609219834;11367373.609219834;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-8076487.437028826;-8076487.437028826;-8076487.437028826;0.0;0.0;0.0;5314798.907250774;5314798.907250774;5314798.907250774;-13391286.3442796;-13391286.3442796;-13391286.3442796;0.0;0.0;0.0;3290886.172191008;-136634869.827809
14;2011-10-15;54992001.0;11340813.782482838;-103658962.71357743;94521339.66231412;11340813.782482838;11340813.782482838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-18878738.139484406;-18878738.139484406;-18878738.139484406;0.0;0.0;0.0;-6154247.233086321;-6154247.233086321;-6154247.233086321;-12724490.906398084;-12724490.906398084;-12724490.906398084;0.0;0.0;0.0;-7537924.357001567;-62529925.357001565
15;2011-10-16;141985252.0;11314253.95574584;-112733026.33334804;71175342.90548092;11314253.95574584;11314253.95574584;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-30950657.013871856;-30950657.013871856;-30950657.013871856;0.0;0.0;0.0;-19030283.045662776;-19030283.045662776;-19030283.045662776;-11920373.968209082;-11920373.968209082;-11920373.968209082;0.0;0.0;0.0;-19636403.058126017;-161621655.05812603
16;2011-10-17;108566158.0;11287694.129008844;-90089138.93420231;103338158.59437634;11287694.129008844;11287694.129008844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-522826.57845899946;-522826.57845899946;-522826.57845899946;0.0;0.0;0.0;10471503.781304253;10471503.781304253;10471503.781304253;-10994330.359763253;-10994330.359763253;-10994330.359763253;0.0;0.0;0.0;10764867.550549844;-97801290.44945015
17;2011-10-18;49425797.0;11261134.302271847;-91639125.08375512;101720058.52922681;11261134.302271847;11261134.302271847;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4787511.839940804;-4787511.839940804;-4787511.839940804;0.0;0.0;0.0;5176495.516115104;5176495.516115104;5176495.516115104;-9964007.356055908;-9964007.356055908;-9964007.356055908;0.0;0.0;0.0;6473622.462331043;-42952174.53766896
18;2011-10-19;-2651602.0;11234574.47553485;-88280293.1415057;98644028.95869963;11234574.47553485;11234574.47553485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-7345257.20743345;-7345257.20743345;-7345257.20743345;0.0;0.0;0.0;1503571.4166758603;1503571.4166758603;1503571.4166758603;-8848828.62410931;-8848828.62410931;-8848828.62410931;0.0;0.0;0.0;3889317.2681014007;6540919.268101401
19;2011-10-20;9867953.0;11208014.648797853;-90471889.51185788;100690303.82272762;11208014.648797853;11208014.648797853;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4951314.918209951;-4951314.918209951;-4951314.918209951;0.0;0.0;0.0;2718160.657330593;2718160.657330593;2718160.657330593;-7669475.575540544;-7669475.575540544;-7669475.575540544;0.0;0.0;0.0;6256699.730587902;-3611253.2694120985
